,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.015928515928515897,-0.0076728826728826,0.011800699300699232,0.5108780108780109,0.5319541569541569,0.5214160839160839,0.0,0.01769902551152543,0.03099385818547017,0.5384615384615384,0.015928515928515897,-0.0076728826728826,0.011800699300699232,0.5108780108780109,0.5319541569541569,0.5214160839160839,0.0,0.01769902551152543,0.03099385818547017,0.5384615384615384
bartender,0.0287490287490287,-0.002136752136752167,0.019716394716394667,0.46328671328671334,0.5034965034965034,0.48339160839160833,0.0157828282828282,0.0,0.04275757800293193,0.5886752136752137,0.0287490287490287,-0.002136752136752167,0.019716394716394667,0.46328671328671334,0.5034965034965034,0.48339160839160833,0.0157828282828282,0.0,0.04275757800293193,0.5886752136752137
cashier,0.020784770784770732,-0.001068376068376067,0.016851204351204265,0.4594017094017093,0.49426961926961926,0.4768356643356643,0.0152486402486402,0.0,0.03181991449662667,0.559926184926185,0.020784770784770732,-0.001068376068376067,0.016851204351204265,0.4594017094017093,0.49426961926961926,0.4768356643356643,0.0152486402486402,0.0,0.03181991449662667,0.559926184926185
chemical engineer,0.04108391608391603,-0.015734265734265732,0.031419968919968795,0.523989898989899,0.5147630147630148,0.5193764568764568,0.0253496503496503,0.0,0.05808407788936377,0.5835275835275836,0.04108391608391603,-0.015734265734265732,0.031419968919968795,0.523989898989899,0.5147630147630148,0.5193764568764568,0.0253496503496503,0.0,0.05808407788936377,0.5835275835275836
chemist,0.044968919968919906,-0.011266511266511231,0.029768842268842164,0.5189393939393939,0.5017482517482518,0.5103438228438227,0.02282439782439777,0.0,0.0639166255889461,0.5774087024087023,0.044968919968919906,-0.011266511266511231,0.029768842268842164,0.5189393939393939,0.5017482517482518,0.5103438228438227,0.02282439782439777,0.0,0.0639166255889461,0.5774087024087023
construction worker,0.0259324009324009,-0.008449883449883401,0.017191142191142133,0.45347707847707847,0.4975718725718725,0.4755244755244754,0.0103438228438228,0.0,0.040289246338365337,0.5535159285159285,0.0259324009324009,-0.008449883449883401,0.017191142191142133,0.45347707847707847,0.4975718725718725,0.4755244755244754,0.0103438228438228,0.0,0.040289246338365337,0.5535159285159285
dentist,0.0358391608391608,-0.009615384615384567,0.022727272727272634,0.4874708624708625,0.48047785547785554,0.483974358974359,0.0142288267288267,0.0,0.05256223497645853,0.5777000777000777,0.0358391608391608,-0.009615384615384567,0.022727272727272634,0.4874708624708625,0.48047785547785554,0.483974358974359,0.0142288267288267,0.0,0.05256223497645853,0.5777000777000777
farm worker,0.009032634032634034,0.0288461538461538,0.022047397047397,0.45308857808857805,0.5183566433566433,0.4857226107226107,0.0244269619269618,0.0,0.008347507669091267,0.5621600621600621,0.009032634032634034,0.0288461538461538,0.022047397047397,0.45308857808857805,0.5183566433566433,0.4857226107226107,0.0244269619269618,0.0,0.008347507669091267,0.5621600621600621
janitor,0.02117327117327113,0.0211732711732711,0.0211732711732711,0.4493006993006992,0.49533799533799533,0.4723193473193472,0.0191822066822066,0.0,0.01767422300347597,0.5331196581196581,0.02117327117327113,0.0211732711732711,0.0211732711732711,0.4493006993006992,0.49533799533799533,0.4723193473193472,0.0191822066822066,0.0,0.01767422300347597,0.5331196581196581
judge,0.04312354312354307,0.001748251748251766,0.026126651126651065,0.5038850038850039,0.4984459984459984,0.5011655011655011,0.0209304584304584,0.0,0.050286381285398134,0.5602175602175602,0.04312354312354307,0.001748251748251766,0.026126651126651065,0.5038850038850039,0.4984459984459984,0.5011655011655011,0.0209304584304584,0.0,0.050286381285398134,0.5602175602175602
lawyer,0.04662004662004657,-0.015442890442890433,0.031225718725718634,0.5225330225330226,0.5098096348096348,0.5161713286713286,0.0244755244755244,0.0,0.06545415826072307,0.5372960372960373,0.04662004662004657,-0.015442890442890433,0.031225718725718634,0.5225330225330226,0.5098096348096348,0.5161713286713286,0.0244755244755244,0.0,0.06545415826072307,0.5372960372960373
line cook,0.016608391608391566,0.0017482517482517333,0.009372571872571766,0.43502331002331,0.4796037296037296,0.4573135198135197,0.0079642579642579,0.0,0.029046260391561735,0.5796425796425796,0.016608391608391566,0.0017482517482517333,0.009372571872571766,0.43502331002331,0.4796037296037296,0.4573135198135197,0.0079642579642579,0.0,0.029046260391561735,0.5796425796425796
optometrist,0.0367132867132867,-0.0087412587412587,0.024864024864024798,0.5019425019425019,0.49689199689199687,0.49941724941724935,0.0179195804195804,0.0,0.05385047609960564,0.5753690753690753,0.0367132867132867,-0.0087412587412587,0.024864024864024798,0.5019425019425019,0.49689199689199687,0.49941724941724935,0.0179195804195804,0.0,0.05385047609960564,0.5753690753690753
parking attendant,0.02466977466977463,0.0098096348096348,0.019085081585081497,0.4535742035742036,0.4919386169386169,0.4727564102564102,0.017773892773892734,0.0,0.030615695458429733,0.5662393162393162,0.02466977466977463,0.0098096348096348,0.019085081585081497,0.4535742035742036,0.4919386169386169,0.4727564102564102,0.017773892773892734,0.0,0.030615695458429733,0.5662393162393162
pharmacist,0.04147241647241644,-0.001942501942501967,0.03151709401709393,0.5076728826728827,0.5077700077700077,0.5077214452214451,0.027097902097902,0.0,0.0538690460324578,0.5658508158508159,0.04147241647241644,-0.001942501942501967,0.03151709401709393,0.5076728826728827,0.5077700077700077,0.5077214452214451,0.027097902097902,0.0,0.0538690460324578,0.5658508158508159
physician,0.0386557886557886,-0.00038850038850036725,0.023212898212898136,0.5316627816627816,0.5126262626262627,0.5221445221445221,0.016268453768453702,0.0,0.057782268682402195,0.5588578088578088,0.0386557886557886,-0.00038850038850036725,0.023212898212898136,0.5316627816627816,0.5126262626262627,0.5221445221445221,0.016268453768453702,0.0,0.057782268682402195,0.5588578088578088
physics teacher,0.040112665112665064,-0.015248640248640232,0.029526029526029465,0.5016511266511267,0.4878593628593628,0.49475524475524474,0.02258158508158507,0.0,0.0662587323414304,0.5821678321678322,0.040112665112665064,-0.015248640248640232,0.029526029526029465,0.5016511266511267,0.4878593628593628,0.49475524475524474,0.02258158508158507,0.0,0.0662587323414304,0.5821678321678322
professor,0.043803418803418766,-0.015345765345765367,0.0343337218337218,0.4954351204351204,0.478049728049728,0.48674242424242425,0.027389277389277367,0.0,0.06141997133253913,0.5869269619269619,0.043803418803418766,-0.015345765345765367,0.0343337218337218,0.4954351204351204,0.478049728049728,0.48674242424242425,0.027389277389277367,0.0,0.06141997133253913,0.5869269619269619
psychologist,0.0413752913752913,0.0014568764568764665,0.02374708624708613,0.5297202797202797,0.5236013986013986,0.5266608391608392,0.0177738927738927,0.0,0.0477757011896545,0.5574980574980576,0.0413752913752913,0.0014568764568764665,0.02374708624708613,0.5297202797202797,0.5236013986013986,0.5266608391608392,0.0177738927738927,0.0,0.0477757011896545,0.5574980574980576
receptionist,0.023989898989898933,-0.006895881895881866,0.01544289044289037,0.4523115773115773,0.4795066045066045,0.46590909090909083,0.008692696192696166,0.0,0.0439435667153068,0.5714840714840714,0.023989898989898933,-0.006895881895881866,0.01544289044289037,0.4523115773115773,0.4795066045066045,0.46590909090909083,0.008692696192696166,0.0,0.0439435667153068,0.5714840714840714
sales clerk,0.025738150738150698,-0.0036907536907536662,0.016268453768453702,0.4635780885780885,0.48717948717948717,0.4753787878787878,0.009906759906759833,0.0,0.03867497949892167,0.5778943278943278,0.025738150738150698,-0.0036907536907536662,0.016268453768453702,0.4635780885780885,0.48717948717948717,0.4753787878787878,0.009906759906759833,0.0,0.03867497949892167,0.5778943278943278
scientist,0.04797979797979796,-0.013500388500388502,0.030837218337218267,0.52000777000777,0.5053418803418803,0.5126748251748251,0.023892773892773864,0.0,0.06878802500289477,0.5752719502719503,0.04797979797979796,-0.013500388500388502,0.030837218337218267,0.52000777000777,0.5053418803418803,0.5126748251748251,0.023892773892773864,0.0,0.06878802500289477,0.5752719502719503
server,0.021367521367521333,0.0056332556332556,0.0155400155400155,0.4724164724164724,0.494949494949495,0.4836829836829836,0.0120920745920745,0.0,0.031359516934679435,0.5537101787101787,0.021367521367521333,0.0056332556332556,0.0155400155400155,0.4724164724164724,0.494949494949495,0.4836829836829836,0.0120920745920745,0.0,0.031359516934679435,0.5537101787101787
taxi driver,0.03088578088578083,-0.006410256410256367,0.018648018648018534,0.4549339549339549,0.49087024087024095,0.47290209790209786,0.009663947163947133,0.0,0.0447461270229178,0.5709013209013208,0.03088578088578083,-0.006410256410256367,0.018648018648018534,0.4549339549339549,0.49087024087024095,0.47290209790209786,0.009663947163947133,0.0,0.0447461270229178,0.5709013209013208
truck driver,0.017773892773892734,-0.002039627039627033,0.013403263403263333,0.4509518259518259,0.4931041181041181,0.47202797202797203,0.0129662004662004,0.0,0.0283877100118002,0.5657536907536908,0.017773892773892734,-0.002039627039627033,0.013403263403263333,0.4509518259518259,0.4931041181041181,0.47202797202797203,0.0129662004662004,0.0,0.0283877100118002,0.5657536907536908
