,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB
Baseline,0.0221445221445221,-0.0145687645687645,0.0183566433566433,0.5075757575757576,0.5256410256410257,0.5166083916083917,0.0,0.0182230963480963
bartender,0.0349650349650349,0.0087412587412587,0.0218531468531468,0.4959207459207459,0.5372960372960373,0.5166083916083916,0.018065268065268,0.0
cashier,0.0268065268065268,0.0119463869463869,0.019376456876456852,0.4691142191142191,0.5055361305361306,0.4873251748251748,0.015588578088578052,0.0
chemical engineer,0.0195221445221445,0.009032634032634,0.01427738927738925,0.5643939393939394,0.5527389277389277,0.5585664335664335,0.013111888111888051,0.0
chemist,0.0355477855477855,0.0049533799533799,0.020250582750582703,0.553030303030303,0.5282634032634033,0.5406468531468531,0.016462703962703905,0.0
construction worker,0.0387529137529137,-0.0023310023310023,0.020541958041958,0.4781468531468531,0.5174825174825175,0.4978146853146853,0.0144230769230769,0.0
dentist,0.0469114219114219,-0.0046620046620046,0.02578671328671325,0.5236013986013986,0.5104895104895105,0.5170454545454546,0.01733682983682985,0.0
farm worker,0.030011655011655,0.0256410256410256,0.0278263403263403,0.4816433566433566,0.541958041958042,0.5118006993006993,0.0240384615384615,0.0
janitor,0.0244755244755244,0.034090909090909,0.0292832167832167,0.4679487179487179,0.5154428904428905,0.49169580419580416,0.0254953379953379,0.0
judge,0.0635198135198135,0.0163170163170163,0.0399184149184149,0.5646853146853147,0.5541958041958042,0.5594405594405594,0.0361305361305361,0.0
lawyer,0.0442890442890442,0.0005827505827505,0.02243589743589735,0.5722610722610723,0.5536130536130536,0.5629370629370629,0.01864801864801855,0.0
line cook,0.023018648018648,0.0037878787878787,0.01340326340326335,0.449009324009324,0.4810606060606061,0.465034965034965,0.00961538461538455,0.0
optometrist,0.0405011655011655,0.0064102564102564,0.02345571095571095,0.5422494172494172,0.532051282051282,0.5371503496503496,0.019667832167832147,0.0
parking attendant,0.030011655011655,0.0195221445221445,0.02476689976689975,0.4798951048951049,0.5148601398601399,0.4973776223776224,0.02097902097902095,0.0
pharmacist,0.0399184149184149,0.011072261072261,0.02549533799533795,0.5515734265734266,0.5384615384615384,0.5450174825174825,0.021707459207459152,0.0
physician,0.0434149184149184,0.011072261072261,0.027243589743589702,0.5748834498834499,0.5588578088578089,0.5668706293706294,0.023455710955710904,0.0
physics teacher,0.0335081585081585,0.0055361305361305,0.0195221445221445,0.5375874125874126,0.5236013986013986,0.5305944055944056,0.0157342657342657,0.0
professor,0.0308857808857808,0.0142773892773892,0.022581585081585,0.5477855477855478,0.530011655011655,0.5388986013986015,0.018793706293706202,0.0
psychologist,0.041083916083916,0.0113636363636363,0.026223776223776148,0.5824592074592074,0.5748834498834499,0.5786713286713286,0.02243589743589735,0.0
receptionist,0.0355477855477855,-0.0029137529137529,0.0192307692307692,0.4679487179487179,0.4953379953379953,0.48164335664335656,0.012529137529137502,0.0
sales clerk,0.0335081585081585,0.0046620046620046,0.01908508158508155,0.4886363636363636,0.4965034965034965,0.49256993006993005,0.01529720279720275,0.0
scientist,0.0405011655011655,0.0002913752913752,0.020396270396270347,0.5591491841491841,0.5492424242424242,0.5541958041958042,0.01660839160839155,0.0
server,0.0343822843822843,0.0125291375291375,0.0234557109557109,0.5046620046620046,0.5224358974358975,0.513548951048951,0.0196678321678321,0.0
taxi driver,0.0428321678321678,-0.0122377622377622,0.027534965034964998,0.4763986013986014,0.5157342657342657,0.49606643356643354,0.011509324009324,0.0
truck driver,0.0352564102564102,-0.0075757575757575,0.02141608391608385,0.476981351981352,0.5099067599067599,0.49344405594405594,0.010052447552447552,0.0
